name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Prado  2019 TX 2.7,24000000,Karachi,2019,41062,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9341175
Toyota Yaris  2022 ATIV CVT 1.3,4700000,Karachi,2022,42702,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-karachi-9340281
Toyota Prado  2019 TX L Package 2.7,285000000,Karachi,2019,33404,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9337307
Toyota Corolla  2022 Altis X Automatic 1.6,5400000,Karachi,2022,21358,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9280669
Toyota Hilux  2021 Revo G Automatic 2.8,108000000,Karachi,2021,46019,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-karachi-9330005
Toyota Corolla Cross  2024 1.8 HEV X,1000000,Karachi,2024,12509,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-karachi-9325980
Toyota Yaris  2021 ATIV X CVT 1.5,4500000,Karachi,2021,16650,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9325490
Toyota Passo  2021 Moda G,45500000,Karachi,2021,43434,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-karachi-9305819
Toyota C-HR  2019 G Nero,827500000,Karachi,2019,114137,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9324646
Toyota Prius  2021 S Touring Selection,8800000,Karachi,2021,41037,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-karachi-9298330
Toyota Sienta  2018 G,63500000,Karachi,2018,111407,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-karachi-9166808
Toyota Raize  2019 Z,63500000,Karachi,2019,38631,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2019-for-sale-in-karachi-9201778
Toyota C-HR  2017 G-LED,7500000,Karachi,2017,60554,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-karachi-9214058
Toyota Corolla  2019 XLi Automatic,4000000,Karachi,2019,48000,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-9157321
Toyota Raize  2020 Z,6600000,Karachi,2020,23256,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-9154507
Toyota Yaris  2021 ATIV X CVT 1.5,4900000,Karachi,2021,13793,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9171591
Toyota Yaris Hatchback  2020 G 1.0,4300000,Karachi,2020,63742,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-9181645
Toyota Yaris  2023 ATIV X CVT 1.5,5700000,Karachi,2023,16558,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2023-for-sale-in-karachi-9147093
Toyota Yaris Hatchback  2020 G 1.0,56500000,Karachi,2020,32816,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-karachi-9120376
Toyota Land Cruiser  2008 AX G Selection,185000000,Karachi,2008,149229,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2008-for-sale-in-karachi-9334847
Toyota Tundra  2019 5.7i,239000000,Karachi,2019,37603,Petrol,5700 ,Automatic,pakwheels.com/used-cars/toyota-tundra-2019-for-sale-in-karachi-8645158
Toyota Land Cruiser  2013 ZX,31000000,Karachi,2013,83133,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2013-for-sale-in-karachi-8716438
Toyota Land Cruiser  2017 ZX,436000000,Karachi,2017,35502,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2017-for-sale-in-karachi-9212072
Toyota Hilux  2022 Revo V Automatic 2.8,125000000,Karachi,2022,48804,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-karachi-9310915
Toyota Yaris Hatchback  2021 ,43500000,Karachi,2021,33508,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-karachi-9263439
Toyota Land Cruiser  2008 AX G Selection,185000000,Karachi,2008,149229,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2008-for-sale-in-karachi-9334847
Toyota Prado  2019 TX 2.7,24000000,Karachi,2019,41062,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9341175
Toyota Yaris  2022 ATIV CVT 1.3,4700000,Karachi,2022,42702,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-karachi-9340281
Toyota Tundra  2019 5.7i,239000000,Karachi,2019,37603,Petrol,5700 ,Automatic,pakwheels.com/used-cars/toyota-tundra-2019-for-sale-in-karachi-8645158
Toyota Land Cruiser  2013 ZX,31000000,Karachi,2013,83133,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2013-for-sale-in-karachi-8716438
Toyota Land Cruiser  2017 ZX,436000000,Karachi,2017,35502,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2017-for-sale-in-karachi-9212072
Toyota Hilux  2022 Revo V Automatic 2.8,125000000,Karachi,2022,48804,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-karachi-9310915
Toyota Prado  2019 TX L Package 2.7,285000000,Karachi,2019,33404,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9337307
Toyota Corolla  2022 Altis X Automatic 1.6,5400000,Karachi,2022,21358,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9280669
Toyota Hilux  2021 Revo G Automatic 2.8,108000000,Karachi,2021,46019,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-karachi-9330005
Toyota Corolla Cross  2024 1.8 HEV X,1000000,Karachi,2024,12509,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-karachi-9325980
Toyota Yaris  2021 ATIV X CVT 1.5,4500000,Karachi,2021,16650,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9325490
