name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior,7100000,Faisalabad,2021,9333,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-faisalabad-9219162
Toyota Hilux  2019 Revo V Automatic 3.0 ,102000000,Peshawar,2019,85277,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2019-for-sale-in-peshawar-9292126
Toyota Corolla Cross  2024 Smart Mid Grade,1000000,Peshawar,2024,979,Hybrid,1798 ,Automatic,pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-peshawar-9214085
Toyota Aqua  2021 S,6700000,Peshawar,2021,36273,Hybrid,1500 ,Automatic,pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-peshawar-9231837
Toyota Aqua  2021 Z,81500000,Peshawar,2021,21122,Hybrid,1500 ,Automatic,pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-peshawar-9254218
Toyota Prado  2019 TX 2.7,24000000,Karachi,2019,41062,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9341175
Toyota Raize  2021 Z,69500000,Lahore,2021,23631,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-lahore-9341109
Toyota Passo  2018 X L Package S ,3700000,Islamabad,2018,54911,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2018-for-sale-in-islamabad-9341208
Toyota Prado  2020 TX L Package 2.8 D,355000000,Lahore,2020,27980,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-prado-2020-for-sale-in-lahore-9340251
Toyota Aqua  2021 S,62500000,Rawalpindi,2021,33961,Hybrid,1500 ,Automatic,pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-rawalpindi-9227454
Toyota C-HR  2019 S-LED,8500000,Gujranwala,2019,57113,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-gujranwala-9333341
Toyota Yaris  2022 ATIV CVT 1.3,4700000,Karachi,2022,42702,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2022-for-sale-in-karachi-9340281
Toyota Raize  2021 Z,6500000,Gujranwala,2021,17524,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-gujranwala-9317134
Toyota Prado  2019 TX L Package 2.7,285000000,Karachi,2019,33404,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-karachi-9337307
Toyota Fortuner  2021 2.7 V,14000000,Lahore,2021,27957,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-9334233
Toyota Passo  2021 X L Package S ,4200000,Lahore,2021,10971,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-lahore-9334219
Toyota Land Cruiser  2008 AX G Selection,185000000,Karachi,2008,149229,Petrol,4600 ,Automatic,pakwheels.com/used-cars/toyota-land-cruiser-2008-for-sale-in-karachi-9334847
Toyota Prius  2021 S,99500000,Lahore,2021,22721,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-lahore-8970588
Toyota C-HR  2018 G,79800000,Lahore,2018,58745,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-lahore-9001794
